destino,regiao,classe,preco (eur),duracao,embarque,porta,companhia
paris,europa,economica,89,2h15,07:15,a12,air france
paris,europa,economica,95,2h20,07:30,a14,singapore airlines
paris,europa,economica,85,2h25,07:45,a16,qatar airways
paris,europa,economica,92,2h10,07:00,a10,turkish airlines
paris,europa,economica,88,2h30,08:00,a18,swiss international air lines
paris,europa,classe executiva,320,2h15,07:15,a12-lounge,air france
paris,europa,classe executiva,340,2h20,07:30,a14-lounge,singapore airlines
paris,europa,classe executiva,330,2h25,07:45,a16-lounge,qatar airways
paris,europa,classe executiva,310,2h10,07:00,a10-lounge,turkish airlines
paris,europa,classe executiva,350,2h30,08:00,a18-lounge,swiss international air lines
londres,europa,economica,95,2h30,14:45,b03,british airways
londres,europa,economica,85,2h35,15:00,b05,qatar airways
londres,europa,economica,90,2h40,15:15,b07,singapore airlines
londres,europa,economica,88,2h25,14:30,b01,delta air lines
londres,europa,economica,100,2h20,14:15,b09,ana all nippon airways
londres,europa,classe executiva,350,2h30,14:45,b03-lounge,british airways
londres,europa,classe executiva,330,2h35,15:00,b05-lounge,qatar airways
londres,europa,classe executiva,360,2h40,15:15,b07-lounge,singapore airlines
londres,europa,classe executiva,340,2h25,14:30,b01-lounge,delta air lines
londres,europa,classe executiva,370,2h20,14:15,b09-lounge,ana all nippon airways
roma,europa,economica,110,2h45,09:30,a08,turkish airlines
roma,europa,economica,105,2h50,09:45,a10,swiss international air lines
roma,europa,economica,115,2h40,09:15,a06,emirates
roma,europa,economica,100,2h55,10:00,a12,etihad airways
roma,europa,economica,108,2h35,09:00,a04,korean air
roma,europa,classe executiva,400,2h45,09:30,a08-lounge,turkish airlines
roma,europa,classe executiva,390,2h50,09:45,a10-lounge,swiss international air lines
roma,europa,classe executiva,410,2h40,09:15,a06-lounge,emirates
roma,europa,classe executiva,380,2h55,10:00,a12-lounge,etihad airways
roma,europa,classe executiva,395,2h35,09:00,a04-lounge,korean air
nova iorque,america,economica,420,8h10,08:00,d05,delta air lines
nova iorque,america,economica,410,8h15,08:15,d07,japan airlines
nova iorque,america,economica,430,8h20,08:30,d09,singapore airlines
nova iorque,america,economica,400,8h05,07:45,d03,qantas airways
nova iorque,america,economica,415,8h25,08:45,d11,air france
